62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/fonts/icon_font/pe-icon-7-stroke.min.css HTTP/1.1" 200 11124
62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/fonts/fontella/css/fontello.min.css HTTP/1.1" 200 105208
62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/css/style.css HTTP/1.1" 200 34247
62.24.122.22 - - [15/Feb/2019:10:14:03 +0300] "GET /aua/assets/fonts/edu_fonts/edu_fonts.min.css HTTP/1.1" 200 1781
62.24.122.22 - - [15/Feb/2019:10:14:03 +0300] "GET /aua/assets/css/magnific-popup.css HTTP/1.1" 200 10118
62.24.122.22 - - [15/Feb/2019:10:14:03 +0300] "GET /aua/assets/css/custom.css HTTP/1.1" 200 25
62.24.122.22 - - [15/Feb/2019:10:14:03 +0300] "GET /aua/assets/js/tabs.js HTTP/1.1" 200 2063
62.24.122.22 - - [15/Feb/2019:10:14:04 +0300] "GET /aua/assets/img/logo/openbaraza-logo.png HTTP/1.1" 200 13119
62.24.122.22 - - [15/Feb/2019:10:14:04 +0300] "GET /aua/assets/img/graphic.jpg HTTP/1.1" 200 61403
62.24.122.22 - - [15/Feb/2019:10:14:04 +0300] "GET /aua/assets/img/header_bg_1.jpg HTTP/1.1" 200 70907
62.24.122.22 - - [15/Feb/2019:10:14:04 +0300] "GET /aua/assets/img/apple-touch-icon-144x144-precomposed.png HTTP/1.1" 404 1141
62.24.122.22 - - [15/Feb/2019:10:14:04 +0300] "GET /aua/assets/img/favicon.ico HTTP/1.1" 404 1112
62.24.122.22 - - [15/Feb/2019:10:14:31 +0300] "POST /aua/j_security_check HTTP/1.1" 303 -
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 200 10851
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/bootstrap-daterangepicker/daterangepicker-bs3.css HTTP/1.1" 200 5665
62.24.122.22 - root [15/Feb/2019:10:14:31 +0300] "GET /aua/assets/global/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 10067
62.24.122.22 - root [15/Feb/2019:10:14:32 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/jqvmap.css HTTP/1.1" 200 907
62.24.122.22 - root [15/Feb/2019:10:14:32 +0300] "GET /aua/assets/global/plugins/morris/morris.css HTTP/1.1" 200 433
